pmid	year	title	journal	authors	abstract	keywords	mesh_terms	doi	pubmed_url
42026627	2026	Effects of the novel phosphodiesterase 9 inhibitor irsenontrine on CSF proteomics profile in AÎ²+â€‰and AÎ²- dementia with Lewy bodies patients.	Alzheimer's research & therapy	Marlies Oosthoek; Sjors G J G In 't Veld; Lisa Vermunt; Yuanqing Ye; Manon van Ingen; Marleen Koel-Simmelink; Everard G B Vijverberg; Satya Saxena; Steven Hersch; Michael Irizarry; Pallavi Sachdev; Charlotte E Teunissen		Co-pathology; Dementia with Lewy bodies; Phosphodiesterase 9 inhibitor; Proteomics		10.1186/s13195-026-02065-w	https://pubmed.ncbi.nlm.nih.gov/42026627/
41753271	2026	Assessing Serum Neurofilament Light Chain in Hereditary Transthyretin Amyloidosis: Direct Comparison of Three Immunoassays.	Journal of clinical medicine	Milou Berends; Johan Bijzet; Suzanne Arends; Elisabeth Brouwer; Charlotte E Teunissen; Sjors G J G In 't Veld; Reinold O B Gans; Bouke P C Hazenberg; Paul A van der Zwaag; Hans L A Nienhuis; Bart-Jan Kroesen	Background/Objectives: Serum neurofilament light chain (sNfL) is an early and sensitive biomarker of polyneuropathy. This study compared the UmanDiagnostics enzyme-linked immunosorbent assay (ELISA), and Meso Scale Discovery (MSD) R-PLEX assay with the current gold-standard single-molecule array (Simoa) assay for sNfL measurement. Methods: sNfL levels were measured with Simoa, ELISA, and MSD R-PLEX in 330 serum samples from 73 individuals with a pathogenic transthyretin gene variant (TTRv) and in 165 healthy controls (HC) with ELISA and MSD R-PLEX. Results: Median sNfL levels, assessed in serum samples from TTRv individuals, differed across all assays (all p < 0.001). Passing-Bablok regression slopes were 1.01 (Simoa-ELISA), 1.00 (Simoa-MSD R-PLEX), and 1.02 (MSD R-PLEX-ELISA), with very strong correlations (all r > 0.8). Bland-Altman analysis showed mean differences of 0.1 Â± 0.2 pg/mL (Simoa-ELISA), 0.7 Â± 0.1 pg/mL (Simoa-MSD R-PLEX), and -0.6 Â± 0.2 pg/mL (MSD R-PLEX-ELISA). In HC, sNfL levels positively correlated with age. Z-score normalization allowed for inter-assay comparison. Conclusions: The ELISA and MSD R-PLEX assays provide suitable alternatives for the Simoa assay to measure sNfL levels in carriers of a pathogenic TTR-gene variant. The differences in concentrations defined by the assays directly relate to the internal standard provided with the assays.	ATTRv amyloidosis; Meso Scale Discovery R-PLEX assay; enzyme-linked immunosorbent assay; neurofilament light chain; single-molecule array assay		10.3390/jcm15041584; 10.1002/mus.20821; 10.1080/13506129.2024.2405948; 10.1136/jnnp-2014-308724; 10.1080/13506129.2022.2065191; 10.1093/nar/gkx1153; 10.1080/13506129.2018.1556156; 10.1161/CIRCULATIONAHA.118.038169; 10.1136/jnnp-2011-301299; 10.1007/s00415-019-09688-0; 10.1038/s41582-018-0058-z; 10.1080/13506129.2024.2327342; 10.1080/13506129.2020.1815696; 10.3390/ijms25073770; 10.1016/j.ebiom.2024.104970; 10.1002/acn3.51355; 10.1039/c3lc50119a; 10.1515/dx-2022-0125; 10.1515/cclm-2015-1195; 10.3390/ijms241310787; 10.1016/j.exger.2014.11.005; 10.3389/fneur.2015.00179; 10.2307/2529310; 10.1111/j.1939-165X.2006.tb00131.x; 10.4155/bio-2019-0163; 10.1016/j.cca.2024.120007; 10.1016/j.msard.2022.104177; 10.1515/cclm-2022-0007	https://pubmed.ncbi.nlm.nih.gov/41753271/
39907245	2025	Longitudinal Plasma Biomarker Profiles Predict Neurological Outcome in Traumatic Spinal Cord Injury.	Annals of neurology	Judith Fraussen; Sjors G J G In't Veld; Charlotte C M van Laake-Geelen; Bart Depreitere; Jens Deckers; Dieter Peuskens; Erwin M J Cornips; Sven Bamps; Charlotte E Teunissen; Veerle Somers	Traumatic spinal cord injury (SCI) is diagnosed by imaging and clinical scoring using the American Spinal Injury Association Impairment Scale (AIS). These methods have limited value for prognosis. Here, the prognostic value of plasma neurofilament-light (NfL), glial fibrillary acidic protein (GFAP), and contactin-1 (CNTN-1) was analyzed. Biomarker levels were determined in the plasma of traumatic SCI patients (nâ€‰=â€‰37) and healthy controls (nâ€‰=â€‰22). SCI samples (nâ€‰=â€‰112) were collected at different time points from 0 to 4â€‰days to 18â€‰weeks post-injury. NfL and GFAP were measured by single molecule array (Simoa) technology, CNTN-1 by Luminex. Baseline and outcome AIS and motor scores were collected as a measure of injury severity. NfL, GFAP, and CNTN-1 showed different kinetics in SCI patients over time. Baseline biomarker levels could identify AIS-A SCI patients (NfLâ€‰+â€‰GFAP) and discriminate between patients with a motor score change <5 and those with a change â‰¥5 (NfLâ€‰+â€‰GFAP+CNTN-1). Longitudinally, NfL could identify AIS-A patients up to 12â€‰weeks post-SCI and discriminate between patients with a motor score change <5 and those with a change â‰¥5 up to 18â€‰weeks post-SCI. Further, baseline biomarker levels positively (NfLâ€‰+â€‰GFAP) or negatively (CNTN-1) correlated with outcome injury severity and together could accurately predict AIS conversion (AUC 0.863) and motor score change (AUC 0.857). This predictive ability was maintained in subacute/chronic SCI stages. In conclusion, plasma NfL, GFAP, and CNTN-1 are potential prognostic biomarkers in SCI. This is important for patient stratification in clinical trials, prediction of neurological outcome and informed decision-making in SCI treatment and rehabilitation. ANN NEUROL 2025;97:1180-1189.		Humans; Spinal Cord Injuries; Biomarkers; Male; Female; Adult; Glial Fibrillary Acidic Protein; Middle Aged; Neurofilament Proteins; Prognosis; Longitudinal Studies; Young Adult; Aged; Predictive Value of Tests	10.1002/ana.27198	https://pubmed.ncbi.nlm.nih.gov/39907245/
38581544	2024	NFL and GFAP in (pre)symptomatic RVCL-S carriers: a monogenic cerebral small vessel disease.	Journal of neurology	Annelise E Wilms; I de Boer; N Pelzer; S G J G In't Veld; H A M Middelkoop; C E Teunissen; G M Terwindt	Neurofilament light chain (NfL) and glial fibrillary acidic protein (GFAP) have emerged as biomarkers for cerebral small vessel disease (SVD). We investigated their role in a hereditary SVD model, retinal vasculopathy with cerebral leukoencephalopathy and systemic manifestations (RVCL-S). NfL and GFAP levels of 17 pre-symptomatic, 22 symptomatic RVCL-S mutation carriers and 69 controls were measured using a Simoa assay. We assessed the association of serum and cerebrospinal fluid (CSF) levels of NfL and GFAP with RVCL-S symptomatology and neuropsychological functioning. Serum and CSF NfL levels were higher in symptomatic RVCL-S compared to controlsâ€‰â‰¥â€‰45Â years (33.5Â pg/mL vs. 9.2Â pg/mL, pâ€‰<â€‰0.01; 8.5*102Â pg/mL vs. 3.9*102Â pg/mL, pâ€‰<â€‰0.01, respectively). Serum NfL levels were higher in symptomatic RVCL-S than pre-symptomatic carriers (33.5Â pg/mL vs. 5.9Â pg/mL, pâ€‰=â€‰0.02). Pre-symptomatic RVCL-S carriers had increased CSF NfL levels compared to controlsâ€‰<â€‰45Â years (5.2*102Â pg/mL vs. 1.9*102Â pg/mL, pâ€‰<â€‰0.01). No differences were found in GFAP levels across groups, but in RVCL-S carriers higher serum levels of both NfL and GFAP were linked to poorer global cognitive functioning (Î²[95%CI]â€‰=â€‰-Â 2.86 [-Â 5.58 to -Â 0.13], pâ€‰=â€‰0.04 and Î²[95%CI]â€‰=â€‰ -Â 6.85 [-Â 11.54 to -Â 2.15], pâ€‰=â€‰0.01, respectively) and prolonged psychomotor test times (Î²[95%CI]â€‰=â€‰6.71 [0.78-12.65], pâ€‰=â€‰0.03 and Î²[95%CI]â€‰=â€‰13.84 [3.09-24.60], pâ€‰=â€‰0.01). Higher levels of serum NfL and GFAP are associated with worse cognitive functioning in RVCL-S carriers and may serve as marker for disease progression. CSF NfL levels may serve as early marker as pre-symptomatic RVCL-S patients already show differences compared to young controls.	Cerebral small vessel disease (SVD); Glial fibrillary acidic protein (GFAP); Neurofilament light chain (NfL); Neuroinflammation; Retinal vasculopathy with cerebral leukoencephalopathy and systemic manifestations (RVCL-S)	Humans; Glial Fibrillary Acidic Protein; Male; Female; Middle Aged; Neurofilament Proteins; Cerebral Small Vessel Diseases; Adult; Biomarkers; Heterozygote; Aged; Neuropsychological Tests; Mutation	10.1007/s00415-024-12292-6; 10.1038/ng2082; 10.1093/brain/121.2.303; 10.3174/ajnr.A7194; 10.1093/brain/aww217; 10.1111/joim.12848; 10.1161/STROKEAHA.117.018556; 10.1177/0271678X20929430; 10.1016/S1474-4422(21)00361-6; 10.1002/acn3.51188; 10.1007/s11910-022-01227-1; 10.1038/s41582-018-0058-z; 10.1136/jnnp-2018-320106; 10.1002/acn3.678; 10.5853/jos.2017.02565; 10.5853/jos.2021.04385; 10.1016/j.tins.2015.04.003; 10.1136/jnnp-2021-328547; 10.3233/JAD-180325; 10.1038/s41582-021-00616-3; 10.1192/bjp.149.6.698; 10.1037/h0044509; 10.1017/S1355617709090626; 10.1161/01.STR.19.5.604; 10.1515/cclm-2015-1195; 10.1093/brain/awaa098; 10.1111/nan.12338; 10.3390/biomedicines10081869; 10.1212/WNL.0000000000004645; 10.1016/S2666-7568(20)30061-1	https://pubmed.ncbi.nlm.nih.gov/38581544/
37879899	2024	Proximity extension assay-based discovery of biomarkers for disease activity in chronic inflammatory demyelinating polyneuropathy.	Journal of neurology, neurosurgery, and psychiatry	Luuk Wieske; Milou R Michael; Sjors G J G In 't Veld; Allerdien Visser; Ivo N van Schaik; Filip Eftimov; Charlotte E Teunissen	Objective disease activity biomarkers are lacking in chronic inflammatory demyelinating polyneuropathy (CIDP), impacting treatment decisions in clinical care and outcomes in clinical trials. Using a proximity extension assay, we aimed to identify candidate serum protein biomarkers for disease activity in CIDP. We collected clinical data and serum of 106 patients with CIDP. Patients starting induction treatment (n=53) and patients on maintenance treatment starting treatment withdrawal (n=40) were assessed at baseline and at 6â€‰months (or at relapse). Patients in remission (n=13) were assessed once. Clinical disease activity was defined based on improvement or deterioration by the minimal clinically important difference on the inflammatory Rasch-built Overall Disability Scale in combination with either grip strength or the Medical Research Council sum score. Using a proximity extension assay (Olink Explore platform), 1472 protein levels were analysed in serum. Candidate proteins were selected based on fold change>0.5â€‰or <-0.5â€‰and p<0.05 between clinically active and inactive disease. Longitudinal changes of candidate proteins between baseline and follow-up were analysed. We identified 48 candidate proteins that differed between clinically active and inactive disease on cross-sectional comparison. Five of these proteins (SUGT1, IRAK4, DCTN1, 5'-nucleotidase cytosolic IIIA (NT5C3A), glutaredoxin (GLRX)) also showed longitudinal changes consistent with disease activity changes. IRAK4 was also identified in a sensitivity analysis, using another definition for disease activity. Our results indicate that IRAK4 and possibly SUGT1, DCTN1, NT5C3A and GLRX are candidate biomarkers for monitoring clinical disease activity in CIDP.	CLINICAL NEUROLOGY; NEUROBIOLOGY; NEUROIMMUNOLOGY; NEUROPATHY	Humans; Polyradiculoneuropathy, Chronic Inflammatory Demyelinating; Male; Biomarkers; Female; Middle Aged; Aged; Adult	10.1136/jnnp-2023-332398	https://pubmed.ncbi.nlm.nih.gov/37879899/
37348871	2023	CSF proteomics in autosomal dominant Alzheimer's disease highlights parallels with sporadic disease.	Brain : a journal of neurology	Emma L van der Ende; Sjors G J G In 't Veld; Iris Hanskamp; Sven van der Lee; Janna I R Dijkstra; Yanaika S Hok-A-Hin; Elena R Blujdea; John C van Swieten; David J Irwin; Alice Chen-Plotkin; William T Hu; Afina W Lemstra; Yolande A L Pijnenburg; Wiesje M van der Flier; Marta Del Campo; Charlotte E Teunissen; Lisa Vermunt	Autosomal dominant Alzheimer's disease (ADAD) offers a unique opportunity to study pathophysiological changes in a relatively young population with few comorbidities. A comprehensive investigation of proteome changes occurring in ADAD could provide valuable insights into AD-related biological mechanisms and uncover novel biomarkers and therapeutic targets. Furthermore, ADAD might serve as a model for sporadic AD, but in-depth proteome comparisons are lacking. We aimed to identify dysregulated CSF proteins in ADAD and determine the degree of overlap with sporadic AD. We measured 1472 proteins in CSF of PSEN1 or APP mutation carriers (n = 22) and age- and sex-matched controls (n = 20) from the Amsterdam Dementia Cohort using proximity extension-based immunoassays (PEA). We compared protein abundance between groups with two-sided t-tests and identified enriched biological pathways. Using the same protein panels in paired plasma samples, we investigated correlations between CSF proteins and their plasma counterparts. Finally, we compared our results with recently published PEA data from an international cohort of sporadic AD (n = 230) and non-AD dementias (n = 301). All statistical analyses were false discovery rate-corrected. We detected 66 differentially abundant CSF proteins (65 increased, 1 decreased) in ADAD compared to controls (q < 0.05). The most strongly upregulated proteins (fold change >1.8) were related to immunity (CHIT1, ITGB2, SMOC2), cytoskeletal structure (MAPT, NEFL) and tissue remodelling (TMSB10, MMP-10). Significant CSF-plasma correlations were found for the upregulated proteins SMOC2 and LILR1B. Of the 66 differentially expressed proteins, 36 had been measured previously in the sporadic dementias cohort, 34 of which (94%) were also significantly upregulated in sporadic AD, with a strong correlation between the fold changes of these proteins in both cohorts (rs = 0.730, P < 0.001). Twenty-nine of the 36 proteins (81%) were also upregulated among non-AD patients with suspected AD co-pathology. This CSF proteomics study demonstrates substantial biochemical similarities between ADAD and sporadic AD, suggesting involvement of the same biological processes. Besides known AD-related proteins, we identified several relatively novel proteins, such as TMSB10, MMP-10 and SMOC2, which have potential as novel biomarkers. With shared pathophysiological CSF changes, ADAD study findings might be translatable to sporadic AD, which could greatly expedite therapy development.	dementia; familial; genetic; olink; proteome	Humans; Alzheimer Disease; Matrix Metalloproteinase 10; Proteomics; Proteome; Biomarkers; Amyloid beta-Peptides	10.1093/brain/awad213	https://pubmed.ncbi.nlm.nih.gov/37348871/
37345802	2023	Discrimination Between Pre- and Postcapillary Pulmonary Hypertension Using Platelet RNA.	Journal of the American Heart Association	Mohammad Arkani; Azar Kianzad; Samara Jansen; Josien Smit; Edward Post; Jip Ramaker; Tonny Lagerweij; Sjors G J G In't Veld; David P Noske; Anton Vonk Noordegraaf; Thomas Wurdinger; Myron G Best; Harm-Jan Bogaard	Background Appropriate treatment of pulmonary hypertension (PH) is critically dependent on accurate discrimination between pre- and postcapillary PH. However, clinical discrimination is challenging and frequently requires a right heart catheterization. Existing risk scores to detect postcapillary PH have suboptimal discriminatory strength. We have previously shown that platelet-derived RNA profiles may have diagnostic value for PH detection. Here, we hypothesize that platelet-derived RNAs can be employed to select unique biomarker panels for the discrimination between pre- and postcapillary PH. Methods and Results Blood platelet RNA from whole blood was isolated and sequenced from 50 patients with precapillary PH (with different PH subtypes) as well as 50 patients with postcapillary PH. RNA panels were calculated by ANOVA statistics, and classifications were performed using a support vector machine algorithm, supported by particle swarm optimization. We identified in total 4279 different RNAs in blood platelets from patients with pre- and postcapillary PH. A particle swarm optimization-selected RNA panel of 1618 distinctive RNAs with differential levels together with a trained support vector machine algorithm accurately discriminated patients with precapillary PH from patients with postcapillary PH with 100% sensitivity, 60% specificity, 80% accuracy, and 0.95 (95% CI, 0.86-1.00) area under the curve in the independent validation series (n=20). Conclusions This proof-of-concept study demonstrates that particle swarm optimization/support vector machine-enhanced classification of platelet RNA panels may be able to discriminate precapillary PH from postcapillary PH. This research provides a foundation for the development of a blood test with a high negative predictive value that would improve early diagnosis of precapillary PH and prevents unnecessary invasive testing in patients with postcapillary PH.	RNA; blood platelet; diagnosis; machine learning; pulmonary hypertension	Humans; Hypertension, Pulmonary; Blood Platelets; Cardiac Catheterization; Predictive Value of Tests; Risk Factors	10.1161/JAHA.122.028447; 10.1093/EURHEARTJ/EHV317; 10.1001/JAMAINTERNMED.2013.319; 10.1161/CIRCULATIONAHA.118.034646; 10.1183/09031936.00202814; 10.1161/JAHA.119.015992; 10.2174/1389201018666170615082510; 10.1161/CIRCULATIONAHA.121.056719; 10.1513/AnnalsATS.202201-085OC; 10.1016/J.CELL.2005.06.015; 10.1182/BLOOD-2018-12-852830; 10.1038/s41596-019-0139-5; 10.1016/j.ccell.2017.07.004; 10.1586/ERS.11.17; 10.1152/AJPHEART.00136.2018; 10.1161/01.CIR.102.20.2460; 10.1038/ncomms1041; 10.1002/JCLA.24273; 10.1177/1076029610394438; 10.1016/J.HRTLNG.2018.08.009; 10.1016/J.ADVMS.2018.04.013; 10.1177/2045894021996190	https://pubmed.ncbi.nlm.nih.gov/37345802/
37291189	2023	Tumor-educated platelet blood tests for Non-Small Cell Lung Cancer detection and management.	Scientific reports	Mafalda Antunes-Ferreira; Silvia D'Ambrosi; Mohammad Arkani; Edward Post; Sjors G J G In 't Veld; Jip Ramaker; Kenn Zwaan; Ece Demirel Kucukguzel; Laurine E Wedekind; Arjan W Griffioen; Mirjam Oude Egbrink; Marijke J E Kuijpers; Daan van den Broek; David P Noske; Koen J Hartemink; Siamack Sabrkhany; Idris Bahce; Nik Sol; Harm-Jan Bogaard; Danijela Koppers-Lalic; Myron G Best; Thomas Wurdinger	Liquid biopsy approaches offer a promising technology for early and minimally invasive cancer detection. Tumor-educated platelets (TEPs) have emerged as a promising liquid biopsy biosource for the detection of various cancer types. In this study, we processed and analyzed the TEPs collected from 466 Non-small Cell Lung Carcinoma (NSCLC) patients and 410 asymptomatic individuals (controls) using theÂ previously established thromboSeq protocol. We developed a novel particle-swarm optimization machine learning algorithm which enabled the selection of an 881 RNA biomarker panel (AUC 0.88). Herein we propose and validate in an independent cohort of samples (nâ€‰=â€‰558) two approaches for blood samples testing: one with high sensitivity (95% NSCLC detected) and another with high specificity (94% controls detected). Our data explain how TEP-derived spliced RNAs may serve as a biomarker for minimally-invasive clinical blood tests, complement existing imaging tests, and assist the detection and management of lung cancer patients.		Humans; Carcinoma, Non-Small-Cell Lung; Lung Neoplasms; Biomarkers, Tumor; Algorithms; RNA; Blood Platelets; Hematologic Tests	10.1038/s41598-023-35818-w; 10.3322/caac.21492; 10.1136/thx.2004.032698; 10.1136/thoraxjnl-2012-202297; 10.1016/j.jtcvs.2011.10.023; 10.1016/S0025-6196(11)60735-0; 10.1038/sj.bjc.6604351; 10.1093/annonc/mdx222; 10.1002/ijc.22134; 10.1102/1470-7330.2011.9020; 10.1056/NEJMoa1911793; 10.1056/NEJMoa1102873; 10.1016/j.jtho.2018.05.030; 10.1016/S1470-2045(17)30861-6; 10.1007/s11912-018-0720-z; 10.21037/tlcr.2016.10.07; 10.1158/0008-5472.CAN-18-0887; 10.1038/s41576-018-0071-5; 10.1158/2159-8290.CD-17-0716; 10.7150/thno.40532; 10.1001/jamaoncol.2018.2078; 10.1016/j.molmed.2010.07.001; 10.1016/j.oraloncology.2017.09.012; 10.1126/scitranslmed.3005109; 10.1038/nrc.2017.7; 10.1016/j.annonc.2021.05.806; 10.1038/s41467-021-24994-w; 10.1039/C8LC00100F; 10.3390/cancers11040458; 10.18632/oncotarget.11177; 10.3390/cancers9010008; 10.1182/blood-2011-03-344408; 10.1016/j.ccell.2015.10.007; 10.1038/ncb3015; 10.1111/j.1752-8062.2010.00226.x; 10.1002/1878-0261.12859; 10.1182/blood.2019003978; 10.1016/j.cell.2005.06.015; 10.1007/s10555-017-9674-0; 10.1182/blood-2008-06-159541; 10.1158/2159-8290.CD-12-0216; 10.1016/j.biocel.2017.07.018; 10.1007/s00432-020-03502-5; 10.1007/s00432-019-02944-w; 10.2147/CMAR.S164227; 10.1016/j.ejca.2017.04.010; 10.1016/j.jprot.2018.02.011; 10.2147/OTT.S177384; 10.7150/ijbs.36284; 10.1016/j.biopha.2018.05.074; 10.3390/cancers13184644; 10.18632/oncotarget.6279; 10.1007/s00432-019-03032-9; 10.1038/s41596-019-0139-5; 10.1016/j.ccell.2017.07.004; 10.1016/j.ejso.2019.11.013; 10.1016/j.ccell.2015.09.018; 10.1016/j.xcrm.2020.100101; 10.7150/ijbs.36284; 10.1016/j.ccell.2022.08.006; 10.1016/S1470-2045(16)30297-2; 10.1038/415530a; 10.1038/nbt.3520; 10.1016/S1470-2045(14)70387-0; 10.4103/atm.ATM_110_19; 10.1148/radiol.2017161659; 10.1097/FPC.0b013e3283406323; 10.1177/1076029610394440; 10.1182/blood-2018-12-852830; 10.1158/0008-5472.CAN-19-3684; 10.1182/blood-2014-08-531582; 10.1007/s11883-014-0435-z; 10.1038/s41586-020-2140-0; 10.1200/JCO.2013.50.4357; 10.3390/cancers12030622; 10.1016/S2213-2600(20)30081-3; 10.21037/jtd.2017.10.67; 10.1186/s12885-019-5795-x; 10.1016/j.jtho.2015.09.009; 10.1093/bioinformatics/btu170; 10.1093/bioinformatics/bts635; 10.1093/bioinformatics/btu638	https://pubmed.ncbi.nlm.nih.gov/37291189/
37270827	2024	Blood platelet RNA profiles do not enable for nivolumab response prediction at baseline in patients with non-small cell lung cancer.	Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine	Mirte Muller; Myron G Best; Vincent van der Noort; T Jeroen N Hiltermann; Anna-Larissa N Niemeijer; Edward Post; Nik Sol; Sjors G J G In 't Veld; Tineke Nogarede; Lisanne Visser; Robert D Schouten; Daan van den Broek; Karlijn Hummelink; Kim Monkhorst; Adrianus J de Langen; Ed Schuuring; Egbert F Smit; Harry J M Groen; Thomas Wurdinger; Michel M van den Heuvel	Anti-PD-(L)1 immunotherapy has emerged as a promising treatment approach for non-small cell lung cancer (NSCLC), though the response rates remain low. Pre-treatment response prediction may improve patient allocation for immunotherapy. Blood platelets act as active immune-like cells, thereby constraining T-cell activity, propagating cancer metastasis, and adjusting their spliced mRNA content. We investigated whether platelet RNA profiles before start of nivolumab anti-PD1 immunotherapy may predict treatment responses. We performed RNA-sequencing of platelet RNA samples isolated from stage III-IV NSCLC patients before treatment with nivolumab. Treatment response was scored by the RECIST-criteria. Data were analyzed using a predefined thromboSeq analysis including a particle-swarm-enhanced support vector machine (PSO/SVM) classification algorithm. We collected and processed a 286-samples cohort, separated into a training/evaluation and validation series and subjected those to training of the PSO/SVM-classification algorithm. We observed only low classification accuracy in the 107-samples validation series (area under the curve (AUC) training series: 0.73 (95% -CI: 0.63-0.84, nâ€Š=â€Š88 samples), AUC evaluation series: 0.64 (95% -CI: 0.51-0.76, nâ€Š=â€Š91 samples), AUC validation series: 0.58 (95% -CI: 0.45-0.70, nâ€Š=â€Š107 samples)), employing a five-RNAs biomarker panel. We concluded that platelet RNA may have minimally discriminative capacity for anti-PD1 nivolumab response prediction, with which the current methodology is insufficient for diagnostic application.	Blood platelets; RNA-sequencing; immunotherapy; nivolumab	Humans; Carcinoma, Non-Small-Cell Lung; Nivolumab; Lung Neoplasms; Blood Platelets; RNA	10.3233/TUB-220037	https://pubmed.ncbi.nlm.nih.gov/37270827/
36964594	2023	Synaptic biomarkers in the cerebrospinal fluid associate differentially with classical neuronal biomarkers in patients with Alzheimer's disease and frontotemporal dementia.	Alzheimer's research & therapy	Shreyasee Das; Julie Goossens; Dirk Jacobs; Nele Dewit; Yolande A L Pijnenburg; Sjors G J G In 't Veld; Charlotte E Teunissen; Eugeen Vanmechelen	Loss of synaptic functionality has been recently identified as an early-stage indicator of neurological diseases. Consequently, monitoring changes in synaptic protein levels may be relevant for observing disease evolution or treatment responses in patients. Here, we have studied the relationship between fluid biomarkers of neurodegeneration and synaptic dysfunction in patients with Alzheimer's disease (AD), frontotemporal dementia (FTD), and subjective cognitive decline (SCD). The exploratory cohort consisted of cerebrospinal fluid (CSF) samples (nâ€‰=â€‰60) from patients diagnosed with AD (nâ€‰=â€‰20), FTD (nâ€‰=â€‰20), and SCD (nâ€‰=â€‰20) from the Amsterdam Dementia Cohort. We developed two novel immunoassays for the synaptic proteins synaptosomal-associated protein-25 (SNAP25) and vesicle-associated membrane protein-2 (VAMP2). We measured the levels of these biomarkers in CSF, in addition to neuronal pentraxin-2 (NPTX2), glutamate ionotropic receptor-4 (GluR4), and neurogranin (Ng) for this cohort. All in-house immunoassays were validated and analytically qualified prior to clinical application. CSF neurogranin (Ng) was measured using a commercially available ELISA. This pilot study indicated that SNAP25, VAMP2, and Ng may not be specific biomarkers for AD as their levels were significantly elevated in patients with both AD and FTD compared to SCD. Moreover, the strength of the correlations between synaptic proteins was lower in the AD and FTD clinical groups compared to SCD. SNAP25, VAMP2, and Ng correlated strongly with each other as well as with total Tau (Tau) and phosphorylated Tau (PTau) in all three clinical groups. However, this correlation was weakened or absent with NPTX2 and GluR4. None of the synaptic proteins correlated to neurofilament light (NfL) in any clinical group. The correlation of the synaptic biomarkers with CSF Tau and PTau but the lack thereof with NfL implies that distinct pathological pathways may be involved in synaptic versus axonal degeneration. Our results reflect the diversity of synaptic pathology in neurodegenerative dementias.	Alzheimerâ€™s disease; Biomarkers; Dementia; Frontotemporal dementia; Immunoassay; Synapse	Humans; Alzheimer Disease; Frontotemporal Dementia; Neurogranin; Pilot Projects; Vesicle-Associated Membrane Protein 2; Amyloid beta-Peptides; tau Proteins; Biomarkers; Cognitive Dysfunction	10.1186/s13195-023-01212-x; 10.1186/s13195-022-01042-3; 10.2174/1567205014666170203125942; 10.1074/mcp.RA118.001290; 10.1016/j.cca.2019.01.019; 10.1136/jnnp-2019-322493; 10.1186/s13195-022-01002-x; 10.1186/s13195-019-0564-2; 10.1111/joim.12816; 10.1007/s00401-018-1932-x; 10.1002/jnr.22392; 10.1038/s41467-020-15270-4; 10.1007/s00702-022-02467-8; 10.3389/fneur.2015.00179; 10.3233/JAD-170850; 10.1016/j.dadm.2018.08.006; 10.1038/s43587-022-00300-1; 10.3233/JAD-200337; 10.1016/j.dadm.2017.01.009; 10.3390/ijms23137221; 10.1016/j.jpsychires.2022.10.010; 10.3758/BF03193146; 10.1186/s13024-022-00534-y; 10.1093/brain/awaa018; 10.1002/hbm.24925; 10.1016/j.neurobiolaging.2021.08.002	https://pubmed.ncbi.nlm.nih.gov/36964594/
